Variable Pair,Period,R_squared,RMSE,MB,Slope
eVNA vs. EQUATES,None_spring,0.82,4.64,3.97,1.12
eVNA vs. VNA,None_spring,0.29,7.06,-5.21,1.43
VNA vs. EQUATES,None_summer,0.45,5.47,3.95,0.26
eVNA vs. EQUATES,None_summer,0.91,1.85,1.05,1.01
eVNA vs. VNA,None_summer,0.35,5.12,-2.9,1.62
VNA vs. EQUATES,None_autumn,0.36,7.07,5.18,0.23
eVNA vs. EQUATES,None_autumn,0.94,1.43,-0.33,0.94
eVNA vs. VNA,None_autumn,0.42,7.12,-5.51,1.63
VNA vs. EQUATES,None_winter,0.26,13.85,13.2,0.31
eVNA vs. EQUATES,None_winter,0.88,8.19,7.45,1.46
eVNA vs. VNA,None_winter,0.42,8.33,-5.75,1.68
VNA vs. EQUATES,None_spring,0.23,26.45,24.7,0.51
eVNA vs. EQUATES,None_spring,0.87,17.01,16.06,1.34
eVNA vs. VNA,None_spring,0.49,12.63,-8.64,0.95
VNA vs. EQUATES,None_summer,0.23,18.37,10.42,0.52
eVNA vs. EQUATES,None_summer,0.78,10.47,-0.81,1.27
eVNA vs. VNA,None_summer,0.65,16.65,-11.23,1.08
VNA vs. EQUATES,None_autumn,0.19,23.95,20.33,0.49
eVNA vs. EQUATES,None_autumn,0.81,15.57,13.3,1.32
eVNA vs. VNA,None_autumn,0.56,13.0,-7.03,0.99
VNA vs. EQUATES,None_winter,0.47,9.71,6.6,0.87
eVNA vs. EQUATES,None_winter,0.72,9.15,5.1,1.43
eVNA vs. VNA,None_winter,0.78,6.54,-1.5,1.18
VNA vs. EQUATES,None_spring,0.3,9.92,9.18,0.26
eVNA vs. EQUATES,None_spring,0.82,4.64,3.97,1.12
eVNA vs. VNA,None_spring,0.29,7.06,-5.21,1.43
VNA vs. EQUATES,None_summer,0.45,5.47,3.95,0.26
eVNA vs. EQUATES,None_summer,0.91,1.85,1.05,1.01
eVNA vs. VNA,None_summer,0.35,5.12,-2.9,1.62
VNA vs. EQUATES,None_autumn,0.36,7.07,5.18,0.23
eVNA vs. EQUATES,None_autumn,0.94,1.43,-0.33,0.94
eVNA vs. VNA,None_autumn,0.42,7.12,-5.51,1.63
VNA vs. EQUATES,None_winter,0.26,13.85,13.2,0.31
eVNA vs. EQUATES,None_winter,0.88,8.19,7.45,1.46
eVNA vs. VNA,None_winter,0.42,8.33,-5.75,1.68
